Name,Date,Likes,isHearted,isPinned,Comment,(view source)
Yanshen Lim,17/07/20 19:11:42,62,no,no,"Tutor hero lain nya bisa di cek di playlist ini ya https://www.youtube.com/playlist?list=PLd6rE81h31eB9AtnDzBitetMpWOgnGvD_ ??

Penjelasan Item, Emblem, Battle Spell bisa cek disini https://www.youtube.com/playlist?list=PLd6rE81h31eDaUL2Derle11BtzPG9PZ2N",view comment
Abdulloh Ansori,26/11/20 16:59:39,15,no,no,Apa cuma gua yg suka pakek ling tapi ga fast hand? (Lagi belajar soalnya hehe),view comment
noob queen kw,27/11/20 09:04:04,0,no,no,Makasih bang. saya jadi ngerti pakai ling  ??,view comment
Rizki Firdaus,28/11/20 06:00:31,0,no,no,Detail banget thanks bang,view comment
HANS WILBERT,29/11/20 14:24:17,0,no,no,me like,view comment
Lukman Azis,30/11/20 10:02:48,0,no,no,"Nontonya enak,pas main susah ????",view comment
Raptor,1/12/2020 9:33,0,no,no,bang buat tutorial hero fanny,view comment
LILIS SURYANTI,1/12/2020 15:40,0,no,no,Itu baru mulai kok levelnya udah 4?,view comment
FarhanNur CHANNEL,3/12/2020 2:57,0,no,no,Mantap,view comment
Ya Lord,3/12/2020 7:18,0,no,no,Bang request sun bg :),view comment
Zenntzy,3/12/2020 10:01,1,no,no,Bangg work bangg thanks bangg yang awal kda ling 666 sekarang 12 5 11 makasih bangg,view comment
Fery Sp,3/12/2020 15:50,0,no,no,Terima kasih kak tutor nya bermanfaat banget ??????,view comment
Indra Indra,3/12/2020 16:53,0,no,no,160+match wr 67 tp gue msh ada miss astaga:( plis gmn,view comment
Indra Januar,4/12/2020 16:46,0,no,no,"Makasih bro tips nya, soalnya gua baru beli hero ini ??",view comment
Alvito Cahyanto,5/12/2020 1:21,1,no,no,"Entah kenapa gua kalo cari tutor hero ML selalu kesini,gatau aja gitu,nyaman banget belajar disini,mudah dipahami dan lengkap.Semangat berkonten kak??",view comment
Rahmat Gaming,6/12/2020 22:39,0,no,no,Fanykh,view comment
Irysad Ali,7/12/2020 20:03,0,no,no,Sia tematutge,view comment
Rachel Amanda,9/12/2020 11:17,0,no,no,BARUSAN KPENCET BELI LING ANJROTTT UEUUEUEU,view comment
